trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,finished_training_early,reachedFinish,participant,EyeTrack,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.89636925701052,None,24.297964305995265,None,24.297964305995265,None,24.297964305995265,None,25.778882101003546,None,31.534087973996066,4,8,1,6,2,7,0,9,1.6,1,0,4,1.5,1.6,2.1,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.49398161098361,None,42.59409426798811,43.09476721298415,42.59409426798811,43.09476721298415,42.59409426798811,43.09476721298415,left,1.509119101014221,42.59409426798811,None,44.142809031996876,None,x,0.40840892400592566,44.142809031996876,None,44.142809031996876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,36.050197103002574,0,9,4,5,2,8,1,7,1.6,1,0,7,1.5,1.6,2.1,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.01381229198887,None,47.1138713810069,47.61426936800126,47.1138713810069,47.61426936800126,47.1138713810069,47.61426936800126,down,1.0613820290018339,47.1138713810069,None,48.203764739009785,None,x,0.5715288460196462,48.203764739009785,None,48.203764739009785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,40.27118195898947,1,5,0,9,4,8,3,7,1.6,0,1,4,2.9000000000000004,1.6,2.9000000000000004,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,52.634549841983244,None,51.33342457198887,51.83378467900911,51.33342457198887,51.83378467900911,51.33342457198887,51.83378467900911,down,1.5007477489998564,52.634549841983244,None,54.15242034298717,None,x,0.5668784830195364,54.15242034298717,None,54.15242034298717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,46.18994802198722,1,5,3,7,2,6,0,8,1.6,0,1,0,2.9000000000000004,1.6,2.9000000000000004,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,58.55526591098169,None,57.254371479008114,57.75478480500169,57.254371479008114,57.75478480500169,57.254371479008114,57.75478480500169,down,1.2921492359892,58.55526591098169,None,59.87313320499379,None,z,1.8541324480029289,59.87313320499379,None,59.87313320499379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,53.26018626298173,0,9,2,7,4,5,3,6,1.6,1,0,4,1.5,1.6,2.1,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.22606212398387,None,64.32591986900661,64.826364448003,64.32591986900661,64.826364448003,64.32591986900661,64.826364448003,down,0.9453337129962165,64.32591986900661,None,65.29271945499931,None,x,0.4424923610058613,65.29271945499931,None,65.29271945499931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,57.280141530995024,4,8,3,9,2,5,0,6,1.6,0,1,3,2.9000000000000004,1.6,2.9000000000000004,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,69.6463455859921,None,68.34530301799532,68.84564290801063,68.34530301799532,68.84564290801063,68.34530301799532,68.84564290801063,down,1.5848745109979063,69.6463455859921,None,71.2638939509925,None,z,0.3033571060223039,71.2638939509925,None,71.2638939509925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,63.35165881499415,2,5,4,8,3,7,1,6,1.6,1,1,6,1.5,1.6,2.1,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.31664710098994,None,74.41642219899222,74.9167712169874,74.41642219899222,74.9167712169874,74.41642219899222,74.9167712169874,down,0.8068012039875612,74.41642219899222,None,75.24976956198225,None,x,0.3975042910024058,75.24976956198225,None,75.24976956198225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70.6430863130081,2,6,1,5,3,8,4,7,1,1,3,79.56046656900435,None,2,6,1,0,3,8,4,7,0,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.75375108598382,None,80.85380906099454,81.35417595799663,80.85380906099454,81.35417595799663,80.85380906099454,81.35417595799663,None,None,down,1.2094060620001983,80.85380906099454,None,None,None,x,0.8427775220188778,82.10852303900174,None,82.97233794198837,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,74.59746741200797,1,9,3,5,4,8,2,6,1,0,6,83.51216091998504,None,1,9,3,5,4,8,2,6,0,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.70744453099906,None,84.80768467899179,85.30735402999562,84.80768467899179,85.30735402999562,84.80768467899179,85.30735402999562,None,None,down,2.391596468980424,84.80768467899179,None,None,None,x,0.25107168100657873,87.23621346600703,None,87.5092933299893,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,79.1322149040061,1,6,0,5,3,7,2,9,0,1,7,88.0471260919876,None,1,6,0,5,3,7,2,4,1,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,90.64456890200381,None,89.34411969498615,89.84453824098455,89.34411969498615,89.84453824098455,89.34411969498615,89.84453824098455,None,None,down,1.138704923010664,90.64456890200381,None,None,None,z,0.24968335599987768,91.8217102040071,None,92.09568390599452,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,83.72000103699975,1,7,0,9,3,6,2,5,1,1,0,92.63562913998612,None,4,7,0,9,3,6,2,5,1,93.83061967298272,None,93.83061967298272,None,93.83061967298272,None,93.83061967298272,None,93.83061967298272,None,93.83061967298272,None,93.83061967298272,None,93.83061967298272,None,93.93062342700432,94.43105683199246,93.93062342700432,94.43105683199246,93.93062342700432,94.43105683199246,None,None,down,1.228600678005023,93.93062342700432,None,None,None,z,0.7835965709818993,95.19167192399618,None,95.99844899098389,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87.62362382098217,2,5,3,6,0,8,1,7,1,0,0,96.5392526529904,None,2,5,3,6,0,8,1,7,1,97.73315823700977,None,97.73315823700977,None,97.73315823700977,None,97.73315823700977,None,97.73315823700977,None,97.73315823700977,None,97.73315823700977,None,97.73315823700977,None,97.83326307000243,98.3337257890089,97.83326307000243,98.3337257890089,97.83326307000243,98.3337257890089,None,None,left,3.0060086279991083,97.83326307000243,None,None,None,z,0.3625037219899241,100.87678172698361,None,101.26883542898577,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,92.89408617600566,1,9,0,6,4,7,3,8,1,0,7,101.80989333600155,None,1,9,0,6,4,7,3,8,1,103.00331164998352,None,103.00331164998352,None,103.00331164998352,None,103.00331164998352,None,103.00331164998352,None,103.00331164998352,None,103.00331164998352,None,103.00331164998352,None,103.10345608100761,103.60414224400301,103.10345608100761,103.60414224400301,103.10345608100761,103.60414224400301,None,None,down,1.5358777590154205,103.10345608100761,None,None,None,x,0.4192471190181095,104.66806833600276,None,105.10468831399339,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,96.73029426799621,4,5,3,7,0,6,1,8,1,0,2,105.64580020098947,None,4,5,3,7,0,6,1,8,1,106.83948881100514,None,106.83948881100514,None,106.83948881100514,None,106.83948881100514,None,106.83948881100514,None,106.83948881100514,None,106.83948881100514,None,106.83948881100514,None,106.9395594880043,107.44004893800593,106.9395594880043,107.44004893800593,106.9395594880043,107.44004893800593,None,None,down,1.0837686980084982,106.9395594880043,None,None,None,x,0.2944668249983806,108.04883464798331,None,108.37389796201023,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,99.99868971100659,4,8,1,5,3,6,0,9,1,1,1,108.9126055809902,None,4,2,1,5,3,6,0,9,1,110.10865861998172,None,110.10865861998172,None,110.10865861998172,None,110.10865861998172,None,110.10865861998172,None,110.10865861998172,None,110.10865861998172,None,110.10865861998172,None,110.20836784900166,110.70881053101039,110.20836784900166,110.70881053101039,110.20836784900166,110.70881053101039,None,None,down,2.246867674984969,110.20836784900166,None,None,None,x,0.32052904201555066,112.48675885199918,None,112.82755180000095,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,104.45038639800623,0,9,3,7,2,5,1,6,0,1,2,113.36514009398525,None,0,9,4,7,2,5,1,6,2,115.962682176003,None,115.962682176003,None,115.962682176003,None,115.962682176003,None,115.962682176003,None,115.962682176003,None,115.962682176003,None,115.962682176003,None,114.66204767400632,115.16220278898254,114.66204767400632,115.16220278898254,114.66204767400632,115.16220278898254,None,None,down,1.3567132700118236,115.962682176003,None,None,None,x,0.2821756839985028,117.35725370398723,None,117.66410067098332,None,,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,109.28823367599398,0,9,1,5,4,6,2,7,0,1,4,118.20186702598585,None,0,9,1,5,3,6,2,7,3,120.79924864100758,None,120.79924864100758,None,120.79924864100758,None,120.79924864100758,None,120.79924864100758,None,120.79924864100758,None,120.79924864100758,None,120.79924864100758,None,119.49886466001044,119.9992109129962,119.49886466001044,119.9992109129962,119.49886466001044,119.9992109129962,None,None,down,0.8720091230061371,120.79924864100758,None,None,None,z,0.3047489860036876,121.71058241199353,None,122.03358021599706,None,1,,,,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,113.65871631700429,0,9,3,6,1,5,2,8,0,0,5,122.57367868698202,None,0,9,3,6,1,5,2,8,,126.01985405999585,None,126.01985405999585,None,126.01985405999585,None,126.01985405999585,None,126.01985405999585,None,126.01985405999585,None,126.01985405999585,None,126.01985405999585,None,124.71922701399308,125.21903411898529,124.71922701399308,125.21903411898529,124.71922701399308,125.21903411898529,None,None,down,1.3474157910095528,126.01985405999585,None,None,None,z,0.29150787700200453,127.3958170489932,None,127.70439498900669,None,,0,0,1,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,119.32973728698562,1,9,0,7,2,6,4,8,0,1,1,128.24518074898515,None,1,3,0,7,2,6,4,8,,131.69048613100313,None,131.69048613100313,None,131.69048613100313,None,131.69048613100313,None,131.69048613100313,None,131.69048613100313,None,131.69048613100313,None,131.69048613100313,None,130.38937479400192,130.88977805699687,130.38937479400192,130.88977805699687,130.38937479400192,130.88977805699687,None,None,down,0.8048280880029779,131.69048613100313,None,None,None,z,0.2962371759931557,132.53518440100015,None,132.85812631598674,None,,1,1,2,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,3.3000000000000003,3.4000000000000004,3.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,124.48263517400483,4,9,3,5,2,6,0,7,1,0,6,133.3970636689919,None,4,9,3,5,2,6,0,7,,137.24460777200875,None,137.24460777200875,None,137.24460777200875,None,137.24460777200875,None,137.24460777200875,None,137.24460777200875,None,137.24460777200875,None,137.24460777200875,None,137.34455444698688,137.844974290987,137.34455444698688,137.844974290987,137.34455444698688,137.844974290987,None,None,down,4.694850400002906,137.34455444698688,None,None,None,x,0.2999603129865136,142.07528128300328,None,142.39812849700684,None,,2,1,2,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,134.02217990500503,3,5,4,9,0,8,1,7,0,0,7,142.9376405630028,None,3,5,4,9,0,8,1,7,,146.38421960599953,None,146.38421960599953,None,146.38421960599953,None,146.38421960599953,None,146.38421960599953,None,146.38421960599953,None,146.38421960599953,None,146.38421960599953,None,145.08306893898407,145.58366943299188,145.08306893898407,145.58366943299188,145.08306893898407,145.58366943299188,None,None,left,1.2470771779771894,146.38421960599953,None,None,None,z,0.3466560590022709,147.6607271420071,None,148.03566089898231,None,,3,2,3,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,139.6609549149871,3,9,0,6,2,8,1,7,1,0,7,148.57633353298297,None,3,9,0,6,2,8,1,7,,150.82061382799293,None,150.82061382799293,None,150.82061382799293,None,150.82061382799293,None,150.82061382799293,None,150.82061382799293,None,150.82061382799293,None,150.82061382799293,None,150.92076782800723,151.42108034499688,150.92076782800723,151.42108034499688,150.92076782800723,151.42108034499688,None,None,left,0.8784652239992283,150.92076782800723,None,None,None,z,0.27143971098121256,151.831855869008,None,152.1216888499912,None,,4,2,3,1,0.6666666666666666,0,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,2.3000000000000003,2.4000000000000004,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,145.09529032398132,2,5,0,6,3,8,1,7,1,0,1,154.01169123698492,None,2,5,0,6,3,8,1,7,,156.8584083270107,None,156.8584083270107,None,156.8584083270107,None,156.8584083270107,None,156.8584083270107,None,156.8584083270107,None,156.8584083270107,None,156.8584083270107,None,156.95845573200495,157.45913156800088,156.95845573200495,157.45913156800088,156.95845573200495,157.45913156800088,None,None,down,2.160830437002005,156.95845573200495,None,None,None,x,0.3016114459896926,159.15367377499933,None,159.4771793629916,None,,0,0,0,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,151.10193806799361,1,5,4,6,3,9,0,8,1,1,6,160.01700788899325,None,1,5,4,6,3,9,2,8,,163.46307367598638,None,163.46307367598638,None,163.46307367598638,None,163.46307367598638,None,163.46307367598638,None,163.46307367598638,None,163.46307367598638,None,163.46307367598638,None,163.56331280298764,164.06375351999304,163.56331280298764,164.06375351999304,163.56331280298764,164.06375351999304,None,None,down,2.07604358199751,163.56331280298764,None,None,None,x,0.40629448401159607,165.67300710300333,None,166.09805412200512,None,,1,0,0,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.8000000000000003,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,157.72342603700235,1,7,3,9,0,6,2,8,1,1,5,166.63867061201017,None,1,7,3,9,0,4,2,8,,169.88454429298872,None,169.88454429298872,None,169.88454429298872,None,169.88454429298872,None,169.88454429298872,None,169.88454429298872,None,169.88454429298872,None,169.88454429298872,None,169.98467672799597,170.48462055099662,169.98467672799597,170.48462055099662,169.98467672799597,170.48462055099662,None,None,down,2.014673583005788,169.98467672799597,None,None,None,x,0.4518613899999764,172.0275347289862,None,172.50287269300316,None,,2,0,0,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,164.12792320299195,2,7,3,6,1,8,4,5,0,0,1,173.04305437300354,None,2,7,3,6,1,8,4,5,,176.4889271800057,None,176.4889271800057,None,176.4889271800057,None,176.4889271800057,None,176.4889271800057,None,176.4889271800057,None,176.4889271800057,None,176.4889271800057,None,175.18785940500675,175.6882869389956,175.18785940500675,175.6882869389956,175.18785940500675,175.6882869389956,None,None,left,0.9584616160136648,176.4889271800057,None,None,None,z,0.3802758759993594,177.4831196059822,None,177.8901207149902,None,,3,1,1,,,,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,2.9000000000000004,1.6,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,169.5152923160058,4,8,3,6,1,9,0,7,0,0,5,178.43148430800647,None,4,8,3,6,1,9,0,7,,181.8760522599914,None,181.8760522599914,None,181.8760522599914,None,181.8760522599914,None,181.8760522599914,None,181.8760522599914,None,181.8760522599914,None,181.8760522599914,None,180.57499717600876,181.07541846300592,180.57499717600876,181.07541846300592,180.57499717600876,181.07541846300592,None,None,left,1.0192831759923138,181.8760522599914,None,None,None,z,0.31105059597757645,182.9363111970015,None,183.27732239998295,None,,4,2,2,1,1.0,1,,001,False,23,2021_Dec_09_0951,templeton_exp2A_SD,2020.2.10,60.05505403030843,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
